Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание
"Kultlab Q10 100% 100mg Softgels, 30 капс";Антиоксиданты;Активное долголетие;"Прием кофермента Q10 пациентами, которым назначены препараты, снижающие уровень холестерина в крови, может осуществляться только после консультации с лечащим врачом. Тот же совет касается людей с сахарным диабетом. Внимание! От приема коэнзима Q10 следует воздержаться беременным и кормящим матерям, так как нет данных о его влиянии на плод и качество материнского молока. Нельзя его принимать при обострении язвенной болезни желудка и кишечника. А так же детям до 12 лет.";;;https://kultlab.ru/catalog/antioksidanty/kultlab-q10-100-100-mg-softgels-30-kaps/;;"Для здорового человека суточная доза составляет 20-40 мг один раз в день после еды, желательно в первой половине дня. Курс приема 3-4 недели.

Для спортсменов и/или людей, постоянно пребывающих в состоянии стресса, а также гипертоников, доза составляет 100 мг (1 капсула).";"Размер одной порции                                        : 1 капсулаПродукт Коэнзим -Q10 выпущен на рынок добавок для спорта компанией Культлаб. Это мощное антиоксидантное вещество, которое обладает рядом положительных свойств. Добавка Коэнзим -Q10 налаживает работу сердечной мышцы, укрепляет все сосуды, поддерживает когнитивную функцию и нервную систему.Кроме этого он берет участие в процессе переработки пищи в энергетические запасы. Также Коэнзим Q-10 способствует процессу циркуляции витамина Е. Очень хорошо поглощают Коэнзим Q-10 верхние слои кожи, насыщаясь  при этом полезными элементами.Для здорового человека суточная доза составляет 20-40 мг один раз в день после еды, желательно в первой половине дня. Курс приема 3-4 недели.Для спортсменов и/или людей, постоянно пребывающих в состоянии стресса, а также гипертоников, доза составляет 100 мг (1 капсула).iПрием кофермента Q10 пациентами, которым назначены препараты, снижающие уровень холестерина в крови, может осуществляться только после консультации с лечащим врачом. Тот же совет касается людей с сахарным диабетом. 


Внимание! От приема коэнзима Q10 следует воздержаться беременным и кормящим матерям, так как нет данных о его влиянии на плод и качество материнского молока. Нельзя его принимать при обострении язвенной болезни желудка и кишечника. А так же детям до 12 лет."
"Kultlab Alpha-Lipoic Acid 300 мг, 60 капс";Антиоксиданты;Активное долголетие;Индивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.;;;https://kultlab.ru/catalog/antioksidanty/kultlab-alpha-lipoic-acid-300-mg-60-kaps/;;принимать по 1 капсуле в день во время еды.;"Размер одной порции                                        : 1 капсулаАльфа-липоевая кислота от Kultlab - это митохондриальное соединение, которое участвует в энергетическом обмене и поддерживает антиоксидантную систему организма, помогая устранять повреждения тканей, вызванных окислением.Исследования альфа-липоевой кислоты демонстрируют ее способность устранить симптомы при некоторых формах нейропатии, а также улучшать метаболизм сахара в крови.Рекомендации по применению:принимать по 1 капсуле в день во время еды.iИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом."
"Kultlab Омега 3, 120 капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-120-kaps/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : Принимать по 1 капсуле 3 раза в день, во время еды, обильно запивая водойKultLab Omega-3 содержит самые ценные для человека ненасыщенные жирные кислоты: докозагексаеновую (ДГК) и эйкозапентаеновую (ЭПК). Они могут использоваться для профилактики широкого спектра заболеваний, борьбы с воспалениями и усиления работы мозга. ДГК и ЭПК особенно полезны для функционирования сердечно-сосудистой системы. Исследования доказали, что Омега-3 может не только предупреждать болезни сердца и онкологии, но и приостанавливать развитие раковой опухоли благодаря способности восстанавливать нарушения ДНК. Omega-3 улучшает метаболизм мозга, предотвращает накопление жиров, обладает антиатеросклеротическим воздействием.iИндивидуальная непереносимость."
"Kultlab Omega 3, 60капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-60-kaps/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыKultLab Omega-3 содержит самые ценные для человека ненасыщенные жирные кислоты: докозагексаеновую (ДГК) и эйкозапентаеновую (ЭПК). Они могут использоваться для профилактики широкого спектра заболеваний, борьбы с воспалениями и усиления работы мозга. ДГК и ЭПК особенно полезны для функционирования сердечно-сосудистой системы. Исследования доказали, что Омега-3 может не только предупреждать болезни сердца и онкологии, но и приостанавливать развитие раковой опухоли благодаря способности восстанавливать нарушения ДНК. Omega-3 улучшает метаболизм мозга, предотвращает накопление жиров, обладает антиатеросклеротическим воздействием.iИндивидуальная непереносимость."
"Kultlab Omega 3, 90капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-90-kaps_1/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыKultLab Omega-3 содержит самые ценные для человека ненасыщенные жирные кислоты: докозагексаеновую (ДГК) и эйкозапентаеновую (ЭПК). Они могут использоваться для профилактики широкого спектра заболеваний, борьбы с воспалениями и усиления работы мозга.ДГК и ЭПК особенно полезны для функционирования сердечно-сосудистой системы.Исследования доказали, что Омега-3 может не только предупреждать болезни сердца и онкологии, но и приостанавливать развитие раковой опухоли благодаря способности восстанавливать нарушения ДНК. Omega-3 улучшает метаболизм мозга, предотвращает накопление жиров, обладает антиатеросклеротическим воздействием.iИндивидуальная непереносимость."
"Kultlab Ultra Omega-3 65%, 90 капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-65-60-kaps/;;по 1 капсуле 1-2 раза в день во время еды.;"Размер одной порции                                        : по 1 капсуле 1-2 раза в день во время еды.Омега-3 способствует укреплению здоровья сердца, снижает уровень триглицеридов и риск сердечно-сосудистых заболеваний, усиливает работу мозга. Кроме того, Омега-3 обладает противоспалительными свойствами, что полезно при хронических заболеваниях и для здоровья кожи."
"Kultlab Omega 3-6-9, 60 капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-6-9-60-kaps/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыKultlab Omega 3-6-9 - сбалансированный комплекс поможет восполнить дефицит жирных кислот в организме человека.Улучшает обмен веществ, что способствует снижению веса,Стабилизирует уровень сахара в крови,Помогает выработке сератонина - гормана счастья, поэтому является отличным средством в борьбе со стрессом и даже депрессией,Укрепляет иммунитет, сердечно - сосудистую систему,Улучшает состояние кожи, ногтей и волос, помогает им восстановиться после зимы,Поддерживает здоровье глаз,Является профилактическим средством различных заболеваний глаз, сердца, кожи, сахарного диабета, болезни Альцгеймера, остеопороза и других,Придает сил и увеличивает запас энергии,Уменьшает различные воспаления в организме и прочее.iПродукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста."
"Kultlab Omega 3 Norwegian, 250 капс";Омега-3 и жирные кислоты;Активное долголетие;"Индивидуальная непереносимость компонентов продукта.
";;https://www.wildberries.ru/catalog/14880387/detail.aspx?targetUrl=GP;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-norwegian-250-kapsuly/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыОмега 3 Norwegian  - содержится рыбий жир, полученный из пород рыб, обитающих в холодных водоемах, в том числе лосося и скумбрии. В его состав входят полиненасыщенные жирные кислоты: эйкозапентаеновая кислота (ЭПК) и декозагексаеновая кислота (ДГК). Они резко снижают концентрацию в крови холестерина, которому принадлежит ведущая роль в образовании атеросклеротических бляшек, закупоривающих сосуды. Поэтому Omega 3 Norwegian является прекрасным профилактическим и лечебным средством при многих сердечно-сосудистых заболеваниях, и препаратом, нормализующим артериальное давление.Рекомендации по применению: взрослым по 3 капсулы в день во время еды. Продолжительность приема 1-2 месяца.iИндивидуальная непереносимость компонентов продукта."
"Kultlab Омега 3 Норвегия, 500 капс";Омега-3 и жирные кислоты;Активное долголетие;"Индивидуальная непереносимость компонентов продукта.
";;https://www.wildberries.ru/catalog/13935737/detail.aspx?targetUrl=GP;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-norwegian-500-kaps_1/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыОмега 3 Norwegian - содержится рыбий жир, полученный из пород рыб, обитающих в холодных водоемах, в том числе лосося и скумбрии. В его состав входят полиненасыщенные жирные кислоты: эйкозапентаеновая кислота (ЭПК) и декозагексаеновая кислота (ДГК). Они резко снижают концентрацию в крови холестерина, которому принадлежит ведущая роль в образовании атеросклеротических бляшек, закупоривающих сосуды. Поэтому Omega 3 Norwegian является прекрасным профилактическим и лечебным средством при многих сердечно-сосудистых заболеваниях, и препаратом, нормализующим артериальное давление.Рекомендации по применению: взрослым по 3 капсулы в день во время еды.Продолжительность приема 1-2 месяца.iИндивидуальная непереносимость компонентов продукта."
"Kultlab L-Arginine 750 mg, 100капс";Аргинин;Аминокислоты;"Индивидуальная непереносимость, беременность, возраст до 12 лет.
";;;https://kultlab.ru/catalog/arginin/kultlab-l-arginine-750-mg-100-kaps/;;"В качестве пищевой добавки принимайте по 1 капсуле 2-3 раза в день по мере необходимости, желательно с соком или водой на голодный желудок, перед тренировкой или перед сном.";"Размер одной порции                                        : 1 капсулаАргинин - условно-незаменимая аминокислота, которая является носителем и донатором азота. Он необходим в синтезе мышечной ткани, именно эта функция явилась главным фактором распространения аргинина в бодибилдинге. Аргинин способствует увеличению мышечной массы и уменьшению жиров при адекватной физической нагрузке.Рекомендации по применению:В качестве пищевой добавки принимайте по 1 капсуле 2-3 раза в день по мере необходимости, желательно с соком или водой на голодный желудок, перед тренировкой или перед сном.iИндивидуальная непереносимость, беременность, возраст до 12 лет."
"Kultlab AAKG, 200 гр";Аргинин;Аминокислоты;"Продукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Женщинам не рекомендуется использовать продукт в период беременности и грудного вскармливания. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!";;;https://kultlab.ru/catalog/arginin/kultlab-aakg-200-gr/;;Смешайте 1 порцию (2 мерные ложки) с 1 стаканом воды (200-300 мл). Для получения наилучшего эффекта принимать по одной порции до тренировки.;"Размер одной порции                                        : 2 мерных ложки - 5 грKULTLAB AAKG - спортивная добавка, которая способствует ускорению роста мышечной массы, повышению силовых показателей и выносливости. Приём перед тренировкой значительно увеличивает рост мышц, мышечную силу и спортивную выносливость, так как повышает уровень оксида азота.Рекомендации по применению:Смешайте 1 порцию (2 мерные ложки) с 1 стаканом воды (200-300 мл). Для получения наилучшего эффекта принимать по одной порции до тренировки.iПродукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Женщинам не рекомендуется использовать продукт в период беременности и грудного вскармливания. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!"
"Big Pig Комбивит For Women, 60 капс";Витамины и минералы;для женщин;"Индивидуальная непереносимость препарата. Перед началом следует проконсультироваться у специалиста. Продукт не является лекарственным средством.
";;;https://kultlab.ru/catalog/vitaminy-dlya-zhenshchin/big-pig-kombivit-for-women-60-kaps/;;;"Размер одной порции                                        : 2 капсулыЖенский комбивит- это специально разработанный состав для женского организма, включающийв себя не только витамины и минералы, но и комплекс веществ для укрепления волос и кожи. Аименно гидролизованный коллаген, гиалуроновая кислота, коэнзим Q-10.iИндивидуальная непереносимость препарата. Перед началом следует


проконсультироваться у специалиста. Продукт не является лекарственным средством."
"Kultlab Men's Daily, 120 капc
";Витамины и минералы;для мужчин;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;https://www.wildberries.ru/catalog/255366980/detail.aspx;https://kultlab.ru/catalog/vitaminy-dlya-muzhchin/kultlab-men-s-daily-120-kapc/;;"Принимать по 1 капсулы 1 раз в день во время еды. Для лучшего эффекта и для людей занимающихся спортом принимать по 4 капсулы в день, 2 капс 2 раза в день.";"Размер одной порции                                        : принимать по 1 капсулы 1 раз в день во время еды. 
Для лучшего эффекта и для людей занимающихся спортом принимать по 4 капсулы в день, 2 капс 2 раза в день.Men's daily - витаминно-минеральный комплекс для мужчин, специально разработанный в лаборатории ""КультЛаб"". 41 необходимый элемент позволяет сделать этот состав максимально эффективным для мужского организма.Точно выверенная дозировка способствует укреплению иммунитетаУлучшению работы ЖКТ и сердечно-сосудистой системыОказывает положительное влияние на укрепление мужского здоровьяувеличивает физическую и умственную работоспособность.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab Daily Complex, 100 капс
";Витамины и минералы;"Мультивитаминные комплексы
";"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;https://www.wildberries.ru/catalog/210808912/detail.aspx;https://kultlab.ru/catalog/multivitaminnye-kompleksy/kultlab-daily-complex-100-kaps/;;1 капсула в день во время еды. Подходит для ежедневного применения.;"Размер одной порции                                        : по 1 капсуле в день во время едыВитаминный комплекс Kultlab Daily Complex на 100% восполняют суточную потребность организма в микроэлементах, что фактически делает тебя неуязвимым перед вирусами, инфекциями и авитаминозом.Комплекс идеально подходит для людей, ведущих спортивный образ жизни, либо занятых тяжелым физическим и умственным трудом.Kultlab Daily Complex:- регулирует обменные процессы- поддерживает функцию кроветворения, секрецию гормонов и - нормальную работу иммунной системы;- замедляет процесс старения;- поддерживает эмоциональное здоровье;- оказывает мощное антиоксидантное воздействие.Комплекс Kultlab Daily Complex помогает поддерживать баланс микроэлементов, обеспечивает хорошее самочувствие и высокий уровень работоспособности.Рекомендации по применению: 1 капсула в день во время еды. Подходит для ежедневного применения.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab Vitamin B complex, 100 капc
";Витамины и минералы;"Отдельные витамины
";"Индивидуальная непереносимость компонентов, перед началом применения следует проконсультироваться с врачом.
";;;https://kultlab.ru/catalog/vitaminy-otdelnye/kultlab-vitamin-b-complex-100-kapc/;;"Принимайте по 2 капсулы в день, желательно вместе с приёмом пищи.";"Размер одной порции                                        : 2 капсулыVitamin B complex содержит необходимую для вашего организма суточную дозу важнейших витаминов группы B, необходимых для нормального течения метаболизма жиров, углеводов и протеинов.Рекомендации по применению:
Принимайте по 2 капсулы в день, желательно вместе с приёмом пищи.iИндивидуальная непереносимость компонентов, перед началом применения следует проконсультироваться с врачом."
"Kultlab Biotin, 60 капс
";Витамины и минералы;"Отдельные витамины
";"Индивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.
";;;https://kultlab.ru/catalog/vitaminy-otdelnye/kultlab-biotin-60-kaps/;;Принимать по 1 капсуле в день во время еды.;"Размер одной порции                                        : 1 капсулаБиотин от Kultlab - это растворимый в воде витамин, необходимый для нормального роста и функционирования организма. Биотин работает как основной регулирующий элемент, участвующий в гликонеогенезе, синтезе жирных кислот и метаболизме некоторых аминокислот. Наряду с участием в выработке энергии, биотин укрепляет имунную систему и играет важную роль в поддержании здоровья кожи.- Играет ключевую роль в метаболизме макронутриентов- Важен для здоровья ногтей- Важен для состояния волос- Играет важную роль во время беременности и грудного вскармливания- Способен снизить уровень глюкозы в крови пациентов с сахарным диабетом- Важен для кожи- Играет роль при лечении рассеянного склерозРекомендации по применению:принимать по 1 капсуле в день во время еды.iИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом."
"Kultlab Vitamin A 10000 МЕ, 60 капс
";Витамины и минералы;"Отдельные витамины
";"Индивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.
";;;https://kultlab.ru/catalog/vitaminy-otdelnye/kultlab-vitamin-a-10000-me-60-kaps/;;Принимать  1-2 капсулы в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить;"Размер одной порции                                        : 1 капсулаВитамин А содержит каротиноиды, которые защищают организм от окисления, вызываемого свободными радикалами. Ученые связали окислительный стресс с потенциально смертельными состояниями, такими как болезни сердца, нейродегенеративные заболевания и диабет. Исследования показывают, что каротиноиды улучшают здоровье сердечно-сосудистой и нервной системы.Ретинол необходим для функционирования бета-клеток поджелудочной железы, которые отвечают за выработку инсулина. Его дефицит приводит к избытку глюкозы в крови.Витамин А нужен для:-поддержания слизистого барьера;-усвоения витамина D;-предотвращения инфекционных заболеваний;-выработки лейкоцитов, которые являются первой линией защиты иммунной системы;-поддержания широкого спектра физиологических функций в организме;-улучшения состояния головного мозга, зубов, костей;-образования гормонов;-защиты кожи от воздействия ультрафиолета;-снижения риска злокачественных процессов.Рекомендации по применению:Принимать  1-2 капсулы в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторитьiИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом."
