Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание;
"Kultlab Copper, 60 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-copper-60-kaps/;;;"Размер одной порции                                        : 1 капсулаМедь является необходимым микроэлементом для жизнедеятельности человеческого организма. Медь играет важную роль в нормализации уровня гемоглобина и формировании эритроцитов. Способствует образованию коллагена и эластина, поддерживает прочность сосудов, эластичность и упругость кожи, сохраняет цвет волос, укрепляет кости. Учавствует в работе ферментов, усиливает иммунитет. Обеспечивает нормальное функционирование нервной системыiИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом";
"Kultlab Calcium Citrate 2000 мг & Vitamin D3 600 МЕ, 120 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;https://www.wildberries.ru/catalog/229639342/detail.aspx;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-calcium-citrate-600-mg-vitamin-d3-60-kaps/;;принимать по 2 капсулы 2 раза в день;"Размер одной порции                                        : принимать по 2 капсулы 2 раза в деньКальций - необходим для здоровья зубов, ногтей, волос, для мышечных сокращений, для синтеза ряда гормонов. Витамин D3, защищая нервную систему, помогает усваивать кальций и усиливает его действие на организмiИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом";
"Kultlab Vitamin C 650 мг, 100 капс
";Витамины и минералы;"Витамин C
";"Индивидуальная непереносимость, беременность, возраст до 12 лет.
";;https://www.wildberries.ru/catalog/16783900/detail.aspx;https://kultlab.ru/catalog/vitamin-c/kultlab-vitamin-c-650-mg-100-kaps/;;Принимайте по одной капсуле в день во время еды.;"Размер одной порции                                        : 1 капсулаVitamin C - Витамин С необходим для производства коллагена, карнитина и некоторых нейротранссмиттеров, он участвует в метаболизме протеина. Аскорбиновая кислота является также важным антиоксидантом, поскольку борется с воздействием свободных радикалов, разрушающих наши клетки.В дополнение к своим биосинтетическим и антиокислительным функциям, он играет определяющую роль в поддержании иммунной системы организма и улучшает усвоение железа. Витамин С обеспечивает проницаемость стенок капилляров, поддерживает их эластичность и прочность, участвует в выработке гормонов, способствует укреплению костной и зубной ткани.Рекомендации по применению:Принимайте по одной капсуле в день во время еды.iИндивидуальная непереносимость, беременность, возраст до 12 лет.";
"Kultlab Vitamin C Sodium Ascorbate, 100 капс
";Витамины и минералы;"Витамин C
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/vitamin-c/kultlab-sodium-ascorbate-100-kaps/;;принимать по 1-2 капсулы в день.;"Размер одной порции                                        : 1 капсулаАскорбат натрия (Витамин С) - это не горький, не кислый, забуференный витамин С в хорошо растворимой форме. Он необходим ждя производства коллагена(структурного белка, необходимого для здоровья соединительных тканей) и поэтому важен для здоровья кожи, костей и суставов. Он также необходим для метаболизма аминокислот, синтеза нейромедиаторов и усвоения многих питательных веществ, таких как фолиевая кислота и железо.Рекомендации по употреблению:принимать по 1-2 капсулы в день.iИндивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.";
"Kultlab Sodium Ascorbate, 100 гр
";Витамины и минералы;"Витамин C
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/vitamin-c/kultlab-sodium-ascorbate-100-gr/;;в качестве пищевой добавки развести 1/4 чайной ложки в стакане сока или воды. принимать во время еды или на тощак.;"Размер одной порции                                        : 1/4 чайной ложки(1,25 г)Аскорбат натрия (Витамин С) - это не горький, не кислый, забуференный витамин С в хорошо растворимой форме. Он необходим ждя производства коллагена(структурного белка, необходимого для здоровья соединительных тканей) и поэтому важен для здоровья кожи, костей и суставов. Он также необходим для метаболизма аминокислот, синтеза нейромедиаторов и усвоения многих питательных веществ, таких как фолиевая кислота и железо.Рекомендации по употреблению:в качестве пищевой добавки развести 1/4 чайной ложки в стакане сока или воды. принимать во время еды или на тощак.iИндивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.";
"Kultlab Collagen Powder, 200 гр
Черная смородина";Для связок и суставов;Коллаген;"Индивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;https://www.wildberries.ru/catalog/34332305/detail.aspx;https://kultlab.ru/catalog/kollagen/kultlab-collagen-powder-200-gr/;;Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.;"Размер одной порции                                        : 2 мерные ложки / 5,5 граммВ нашем организме около 25% коллагена, он играет важную роль в функционировании нашего организма. С годами синтез коллагена снижается.Это приводит организм к старению, появляются морщины, целлюлит, сухость кожи.Так же коллаген очень важен для вашей иммунной системы.Все эти проблемы может решить Collagen Powder, он является продуктом на основе легко усваиваемого гидролизата коллагена с добавлением витаминов и минералов:- кальция;- магния;- витаминов С и В6.Рекомендации по применению:Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.iИндивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";
"Kultlab Collagen Powder, 200 гр
Апельсин";Для связок и суставов;Коллаген;"Индивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;https://www.wildberries.ru/catalog/34332305/detail.aspx;https://kultlab.ru/catalog/kollagen/kultlab-collagen-powder-200-gr/;;Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.;"Размер одной порции                                        : 2 мерные ложки / 5,5 граммВ нашем организме около 25% коллагена, он играет важную роль в функционировании нашего организма. С годами синтез коллагена снижается.Это приводит организм к старению, появляются морщины, целлюлит, сухость кожи.Так же коллаген очень важен для вашей иммунной системы.Все эти проблемы может решить Collagen Powder, он является продуктом на основе легко усваиваемого гидролизата коллагена с добавлением витаминов и минералов:- кальция;- магния;- витаминов С и В6.Рекомендации по применению:Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.iИндивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";
"Kultlab Collagen Powder, 200 гр
Натуральный";Для связок и суставов;Коллаген;"Индивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;https://www.wildberries.ru/catalog/34332305/detail.aspx;https://kultlab.ru/catalog/kollagen/kultlab-collagen-powder-200-gr/;;Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.;"Размер одной порции                                        : 2 мерные ложки / 5,5 граммВ нашем организме около 25% коллагена, он играет важную роль в функционировании нашего организма. С годами синтез коллагена снижается.Это приводит организм к старению, появляются морщины, целлюлит, сухость кожи.Так же коллаген очень важен для вашей иммунной системы.Все эти проблемы может решить Collagen Powder, он является продуктом на основе легко усваиваемого гидролизата коллагена с добавлением витаминов и минералов:- кальция;- магния;- витаминов С и В6.Рекомендации по применению:Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.iИндивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.";
"Kultlab Sea Collagen, 200 гр
";Для связок и суставов;Коллаген;"Индивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;https://www.wildberries.ru/catalog/174357656/detail.aspx;https://kultlab.ru/catalog/kollagen/kultlab-sea-collagen-200-gr/;;Смешайте 1-2 порции с 250-300 мл воды или другого напитка.;"Размер одной порции                                        : 1 мерная ложка / 5 граммМорской коллаген изготавливается из морепродуктов и рыб. По своей структуре близок к человеческому коллагену, поэтому лучше усваивается организмом. Его получают из рыбьей кожи и чешуи, после чего он проходит гидролизацию для расщепления коллагенового белка на маленькие составляющие - пептиды. Они считаются наиболее полезным веществом, чем у животного коллагена, поскольку лучше и быстрее усваиваются.Чем полезен такой коллаген:-нормализует состояние хрящей, суставов и соединительной ткани;-улучшает подвижность опорно-двигательного аппарата;-насыщает кожу влагой, повышает ее упругость и эластичность;-защищает сердечно-сосудистую систему;-регулирует водно-солевой обмен;-выводит из организма токсины и шлаки.Такой коллаген полезен в любом возрасте. Принимать его можно молодым людям для защиты суставов при высоких нагрузках, замедления процессов старения. Пожилым он необходим для предупреждения дегенеративных изменений опорно-двигательного аппарата, восстановления подвижности суставов.Рекомендации по применению:Смешайте 1-2 порции с 250-300 мл воды или другого напитка.iИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.";
"Kultlab ЗМА, 90 капс";Бустеры тестостерона;ZMA;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;https://kultlab.ru/catalog/zma/kultlab-zma-90-kaps/;;"Принимайте по три капсулы 1–3 раза в день. Последний прием должен быть за 30–60 мин. до сна. Для достижения наилучших результатов лучше не принимать ZMA вместе с пищей или добавками, содержащими кальций.";"Размер одной порции                                        : Принимать по 3 капсулы в день для мужчин и 2 капсулы в день для женщин, желательно на пустой желудок, за 30-60 мин перед сном.ZMA — натуральное и 100% клинически проверенное средство ,  содержащее цинк и магний. Применяется спортсменами как восстанавливающее средство повышающее уровень тестостерона и инсулиноподобного фактора роста (IGF-1).Рекомендации по применению:Принимайте по три капсулы 1–3 раза в день. Последний прием должен быть за 30–60 мин. до сна. Для достижения наилучших результатов лучше не принимать ZMA вместе с пищей или добавками, содержащими кальций.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом";
"Kultlab Melatonin 5 mg, 60 капс
";"Специальные препараты
";Улучшение сна;"Продукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!
";;;https://kultlab.ru/catalog/melatonin/kultlab-melatonin-5-mg-60-kaps/;;;"Размер одной порции                                        : 1 капсулаMelatonin / Мелатонин – гормон эпифиза (шишковидной железы) головного мозга – повышает качество сна. Улучшает потенцию за счёт нормализации работы мозга.Эпифиз производит мелатонин преимущественно в ночное время суток из аминокислоты триптофан, в дневное время им производится из триптофана нейромедиатор серотонин.Этот цикл сменяющегося производства мелатонина и серотонина ориентирован у здоровых и молодых людей на максимальное производство серотонина в середине дневного светлого промежутка (12 часов дня по астрономическому времени) и соответственно максимум мелатонина производится эпифизом в полночь. Таким образом, эпифиз устанавливает суточный ритм, на который ориентируются все железы внутренней секреции, все органы и ткани организма, согласовывая с ним периоды своей максимальной и минимальной активности.По мере старения организма способность эпифиза вырабатывать мелатонин уменьшается и, одновременно с этим максимальные концентрации его выделения сдвигаются на всё более близкие к окончанию ночи часы. Как оказалось, этот факт лежит в основе появления симптомов старения человека. Мелатонин играет главную инициирующую функцию восстановления работы органов и систем человеческого организма во время сна.При дефиците мелатонина снижается способность к засыпанию и нарушается структура и качество ночного сна. Также многие органы теряют способность интенсивно обслуживать функциональные потребности организма. Для примера можно привести уменьшение способности печени создавать альбумины, транспортирующие ионы микроэлементов, поступающие в составе комплексных соединений переваренной пищи в портальную вену, где печень должна отобрать у комплексонов эти ионы и, инкорпорируя их комплексной связью в состав специфических транспортных альбуминов, затем распределить в предназначенные для этих элементов места в организме. При дефиците мелатонина, этот процесс тормозится, и несмотря на то, что пожилой человек будет дополнительно принимать микроэлементы с пищей, он будет страдать от их нехватки.Физиологи установили, что у человека в возрасте 20 лет концентрация мелатонина приходится на 12 часов ночи и превышает концентрацию у 60-тилетних в 2 раза. Причем к 60 годам время максимальной концентрации сдвигается к 4 часам утра.Ежедневный приём в 23 часа 3 мг мелатонина у людей после 40 лет служит восстановлению и поддержанию многих функций, в том числе:продлению жизни;возвращению молодости и жизненных сил;улучшению сексуальной активности – это касается и либидо (желания) и возможностей его осуществления;улучшению и гармонизации иммунной системы;усиливаются антиоксидантные возможности головного и спинного мозга, а также их репаративные мощности;защита от стресса;зашита от рака. Усилением мощности специфического противоопухолевого иммунитета мозга и всего организма;мелатонин предохраняет от атеросклероза и гипертонической болезни;мелатонин восстанавливает засыпание и структуру сна;лекарство от бессонницы при быстрой смене часовых поясов (принимать после перелёта вечером по местному времени в 23 часа 3мг. мелатонина 5 дней подряд).Показания к применению:бессонница;перетренированность;сердечно-сосудистые заболевания;улучшение физиологических функций организма;улучшение сексуальной активности;стресс, депрессия.iПродукт не является лекарственным средством.


Не рекомендуем использовать продукцию лицам, не достигшим 18 лет.


Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!";
"Kultlab DMAE, 90 капс
";"Специальные препараты
";Улучшение сна;"Продукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!
";;;https://kultlab.ru/catalog/spetsialnye-preparaty/kultlab-dmae-90-kaps/;;;"Размер одной порции                                        : 1 капсПрепарат - натурального вещества DMAE (диметиламиноэтанола) - ноотропа, способствующего поддержке нормальных функций мозга, здоровой умственной деятельности и обладающего антивозрастными свойствами. Стандарт GMP.Продукт DMAE содержит натуральное вещество DMAE (ДМАЕ, диметиламиноэтанол) – аминоспирт, который синтезируется организмом в крохотных количествах в мозге и был найден в большей концентрации в природных морепродуктах: анчоусах и сардинах.Известно, что DMAE, поступающее из пищевых источников в организм, перерабатывается в печени в нейромедиаторы холин и ацетилхолин - химические вещества, отвечающих за передачу нервных импульсов и когнитивные функции в мозге. Эти свойства биоактивных пищевых добавок DMAE используются для улучшения памяти и стимуляции нервной деятельности, способствуя большей сосредоточенности мышления.Многие исследователи полагают, что прием пищевых добавок DMAE может оказывать антивозрастное действие, увеличивая объем синтеза в организме ацетилхолина, дефицит которого обычно связан с потерей памяти.iПродукт не является лекарственным средством.


Не рекомендуем использовать продукцию лицам, не достигшим 18 лет.


Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!";
"Kultlab Келп, 60 капс
";"Специальные препараты
";Общий тонус организма;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;;;;;"Размер одной порции                                        : 1 капсулаHyaluronic Acid от KultLab помогает естественной смазке связок и поддерживает здоровье соединительной ткани. Гиалуроновая кислота содержится в некотором количестве в соединительной ткани, включая связки и кожу. Эта кислота также отвечает за эластичность и увлажненность кожи.Рекомендации по применению:Принимайте одну капсулу в день вместе с едой.iПродукт не является лекарственным средством.


Не рекомендуем использовать продукцию лицам, не достигшим 18 лет.


Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!";
"Kultlab Hyaluronic Acid, 30 капс
";"Специальные препараты
";Укрепление суставов и связок;"Продукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!
";;;https://kultlab.ru/catalog/spetsialnye-preparaty/kultlab-hyaluronic-acid-30-kaps/;;"Принимайте 1 капсулу в день вместе с едой.
";"Размер одной порции                                        : 1 капсулаБиологически активные вещества экстракта листьев гинкго билоба способствуют укреплению и повышению эластичности сосудистой стенки, улучшают реологические свойства крови и вследствие этого улучшается микроциркуляция, снабжение мозга и периферических тканей кислородом и глюкозой.- Улучшает мозговое кровообращение, доставку кислорода и питательных веществ к головному мозгу.- Способствует регуляции высвобождения нейромедиаторов - норадреналина, дофамина, ацетилхолина.- Повышает поглощение и утилизацию кислорода и глюкозы клетками головного мозга.- Улучшает умственную работоспособность, способность к обучению, память и концентрацию внимания.- Обладает антиоксидантным действием, защищает клетки мозга от повреждения свободными радикалами.- Снижает риск развития возрастных заболеваний мозга.- Положительно влияет на здоровье сердечно-сосудистой системы, способствует расширению кровеносных сосудов, снижает артериальное давление и риск развития инфаркта.- Уменьшает вязкость крови, препятствуя образованию тромбов.- Понижает проницаемость сосудистой стенки, улучшает венозный отток и тонус вен, оказывая противоотёчный эффект, в т.ч. при варикозном расширении и хронической венозной недостаточности.- Способствует синтезу и препятствует разрушению коллагена, способствуя поддержанию красоты и молодости.- Ускоряет заживление ран и различных повреждений кожи.iИндивидуальная непереносимость компонентов добавки.";
"Kultlab Ginkgo Biloba, 60 капс
";"Специальные препараты
";Общий тонус организма;"Индивидуальная непереносимость компонентов добавки.
";;;https://kultlab.ru/catalog/spetsialnye-preparaty/kultlab-ginkgo-biloba-60-kaps/;;;"Размер одной порции                                        : 1 капсулаСилимарин - природный комплекс биологически активных веществ, содержащийся в плодах расторопши пятнистой и состоящая из семи флавоноидов и одного флаволигнана: силибин А, силибин В, изосилибин А, изосилибин В, силикристин, изосиликристин, силидианин, таксифолин. Формирует основное фармакологическое действие расторопши.Экстракт расторопши:• Защита печени от последствий неправильной диеты, токсического действия профессиональных вредностей, лекарств и т.д.• Восстановление печени при ее поражении ядами, алкоголем, заболеваниями.• Улучшение качества желчи: препарат препятствует образованию камней в желчном пузыре.• Усиление разнообразных функций печени: ее способности обезвреживать токсины и метаболиты, выделять факторы свертывания крови, производить липопротеины и другие важные вещества.• Желчегонный эффект: средство усиливает выработку и выведение желчи, что полезно при заболеваниях органов желчевыводящей системы.Помимо перечисленных свойств расторопша также стимулирует аппетит, положительно влияет на состояние селезенки, содержит антиоксиданты, улучшающие здоровье в целом, оказывает незначительное мочегонное действие.Одуванчик лекарственный употребляют для лечения гепатита, холецистита, желчекаменной болезни, желтухи, гастрита, колита, цистита, для улучшения аппетита и пищеварения, при запоре, метеоризме, а также в качестве противоглистного средства.Артишок - род растений семейства Астровые. В артишоке содержится цинарин - желчегонное средство растительного происхождения. Способствует также выведению из организма мочевины и токсичных нитросоединений.Рекомендации по применению:Принимать по 1 капсуле 3 раза в день во время еды.iИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.";
"Kultlab Silymarin, 120 капс
";"Специальные препараты
";Здоровье печени;"Индивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.
";;;https://kultlab.ru/catalog/spetsialnye-preparaty/kultlab-silymarin-120-kaps/;;"Принимать по 1 капсуле 3 раза в день во время еды.
";"Размер одной порции                                        : 1 капсулаКофеин от Kultlab - способствует временному повышению умственной активности и бодрости при усталости и сонливости. Одновременно с этим снижает аппетит и стимулирует жиросжигание. Обеспечивает организм дополнительной энергией для тренировок.Рекомендации по употреблениюпринимать по 1 капсуле каждые 3-4 часа, не более 1000 мг(5капсул) в течение 24 часовiИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.";
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
